"Country","HaveWorkedLanguage","Frequency"
"Dominican Republic","Ruby",5
"Chile","C",17
"Chile","Java",35
"Chile","JavaScript",47
"Chile","Lua",2
"Chile","PHP",29
"Chile","SQL",45
"Chile","VBA",4
"Chile","VisualBasic6",4
"Germany","Scala",116
"Ukraine","C#",72
"Germany","Assembly",182
"Germany","Matlab",146
"Argentina","Erlang",1
"Argentina","Java",61
"Canada","C",308
"Iran","Matlab",33
"Slovenia","JavaScript",165
"Russian Federation","Groovy",23
"Russian Federation","SQL",263
"Chile","C#",20
"Chile","Objective-C",2
"Chile","Swift",10
"El Salvador","Java",6
"El Salvador","JavaScript",10
"El Salvador","SQL",10
"Spain","PHP",194
"Germany","C",688
"Germany","Groovy",120
"Germany","TypeScript",295
"Germany","VBA",154
"Argentina","CoffeeScript",4
"Argentina","Elixir",5
"Argentina","Ruby",12
"Argentina","TypeScript",12
"Germany","Swift",197
"Finland","C#",75
"Finland","TypeScript",18
"Portugal","C++",34
"Portugal","Java",79
"Portugal","JavaScript",126
"Portugal","Python",49
"Portugal","TypeScript",19
"Israel","Groovy",19
"Mexico","C#",87
"Mexico","SQL",141
"Poland","C",147
"Poland","CommonLisp",9
"United States","Haskell",145
"Albania","C#",15
"Albania","JavaScript",26
"Albania","PHP",20
"Albania","SQL",26
"South Africa","C#",143
"South Africa","JavaScript",182
"South Africa","TypeScript",44
"Switzerland","C#",180
"Switzerland","JavaScript",256
"Switzerland","SQL",232
"Sweden","C++",102
"Sweden","C#",187
"Sweden","F#",17
"Brazil","C",123
"Brazil","C++",111
"Netherlands","Perl",24
"New Zealand","C#",82
"Russian Federation","C#",171
"Russian Federation","Python",204
"Brazil","Groovy",21
"Finland","C",38
"Uzbekistan","JavaScript",8
"Uzbekistan","Python",2
"Uzbekistan","SQL",10
"United Kingdom","Scala",126
"United Kingdom","Matlab",102
"Moldavia","Assembly",4
"Moldavia","C",11
"Moldavia","C++",10
"Moldavia","C#",11
"Moldavia","Java",13
"Moldavia","JavaScript",27
"Moldavia","PHP",13
"Moldavia","Python",12
"Moldavia","Scala",3
"Moldavia","SQL",19
"Romania","C#",155
"Canada","PHP",424
"Norway","C#",72
"Norway","JavaScript",115
"Norway","SQL",91
"Norway","TypeScript",13
"Norway","VB.NET",8
"Norway","VBA",5
"United States","Elixir",102
"Russian Federation","Matlab",13
"Ireland","C",39
"Ireland","CommonLisp",2
"Ireland","Elixir",2
"Ireland","Erlang",3
"Ireland","Java",127
"Ireland","JavaScript",174
"Ireland","SQL",143
"Sweden","TypeScript",47
"Nepal","C#",24
"Nepal","JavaScript",60
"Nepal","PHP",48
"Nepal","SQL",46
"Poland","R",40
"Poland","Scala",51
"Mexico","Java",98
"Pakistan","C++",75
"Pakistan","C#",109
"Pakistan","JavaScript",161
"Pakistan","SQL",134
"Slovak Republic","C",40
"Slovak Republic","Swift",9
"Lithuania","C++",27
"Lithuania","Java",33
"Lithuania","Objective-C",7
"Lithuania","Swift",3
"Lithuania","TypeScript",10
"Austria","C#",139
"Brazil","C#",173
"France","VBA",54
"Canada","Clojure",28
"Canada","VBA",96
"Belgium","JavaScript",211
"Belgium","PHP",99
"Belgium","SQL",165
"Croatia","C#",48
"Croatia","SQL",60
"Croatia","TypeScript",10
"United Arab Emirates","C",10
"United Arab Emirates","C++",6
"United Arab Emirates","Objective-C",8
"United Arab Emirates","VBA",3
"United Kingdom","Lua",82
"Hungary","Groovy",9
"Hungary","Java",114
"Hungary","JavaScript",151
"Hungary","SQL",134
"India","Scala",68
"Belarus","Assembly",1
"Belarus","C++",12
"Belarus","C#",14
"Belarus","F#",2
"Belarus","Java",19
"Belarus","JavaScript",32
"Belarus","PHP",9
"Belarus","SQL",16
"Belarus","TypeScript",4
"Belarus","VB.NET",1
"Belarus","VBA",1
"Belarus","VisualBasic6",1
"Egypt","Java",36
"Egypt","JavaScript",52
"Egypt","Python",27
"Albania","Java",17
"Albania","Matlab",1
"Israel","VBA",8
"Israel","VisualBasic6",5
"Austria","C++",96
"Austria","PHP",115
"Romania","Ruby",21
"Canada","TypeScript",176
"Czech Republic","C++",87
"Czech Republic","Matlab",16
"Czech Republic","Python",95
"Netherlands","F#",12
"Australia","C#",298
"Switzerland","C++",123
"Switzerland","Matlab",35
"Switzerland","Python",156
"Belgium","C++",52
"Belgium","Java",122
"Belgium","Matlab",17
"Belgium","Python",85
"Spain","CoffeeScript",20
"Spain","Ruby",44
"Ukraine","Ruby",31
"Germany","Perl",154
"Mexico","PHP",79
"Japan","Clojure",2
"Japan","Java",79
"Japan","Lua",6
"Japan","Rust",5
"Canada","Perl",93
"I prefer not to say","Erlang",1
"I prefer not to say","JavaScript",31
"I prefer not to say","Scala",2
"Sweden","Scala",11
"South Korea","C",35
"Sri Lanka","Python",29
"Sri Lanka","VisualBasic6",8
"Switzerland","Java",214
"Brazil","Lua",33
"Tunisia","C++",11
"Tunisia","Java",19
"Tunisia","JavaScript",27
"Tunisia","PHP",20
"Tunisia","SQL",19
"Turkey","Java",99
"Rwanda","JavaScript",4
"Rwanda","Python",2
"Rwanda","Ruby",1
"Rwanda","VB.NET",2
"Colombia","Assembly",2
"Colombia","C",5
"Colombia","C++",12
"Colombia","Go",5
"Colombia","Perl",1
"Colombia","PHP",31
"Colombia","SQL",46
"Colombia","TypeScript",16
"India","R",100
"Luxembourg","Assembly",4
"Luxembourg","C",5
"Luxembourg","Erlang",2
"Luxembourg","Java",12
"Luxembourg","JavaScript",20
"Germany","Clojure",30
"India","TypeScript",158
"Israel","R",21
"I prefer not to say","C#",19
"I prefer not to say","F#",1
"I prefer not to say","Lua",6
"Brazil","Elixir",7
"Netherlands","CoffeeScript",23
"Netherlands","Swift",41
"Ireland","Python",92
"Ireland","R",16
"Belgium","C#",131
"Kazakhstan","Java",11
"Estonia","Assembly",4
"Estonia","C",10
"Estonia","CoffeeScript",4
"Chile","Ruby",15
"Spain","Groovy",19
"Serbia","JavaScript",92
"Serbia","PHP",51
"Serbia","SQL",82
"Russian Federation","Go",35
"Russian Federation","Lua",28
"Austria","TypeScript",47
"Austria","VBA",21
"Ireland","C++",32
"Ireland","Ruby",32
"Vietnam","CoffeeScript",3
"Vietnam","JavaScript",38
"Vietnam","Rust",2
"Ireland","Objective-C",14
"Ireland","Swift",13
"Norway","C",33
"Norway","C++",31
"Norway","Java",67
"Norway","PHP",48
"Norway","Python",53
"India","CommonLisp",13
"India","Haskell",18
"India","Rust",8
"Spain","TypeScript",52
"Poland","Assembly",44
"Somalia","C",1
"Somalia","C++",1
"Somalia","PHP",1
"Somalia","Python",1
"Somalia","SQL",1
"Croatia","C++",28
"Croatia","CommonLisp",1
"Croatia","Java",50
"Croatia","Scala",1
"Italy","C",124
"Italy","VB.NET",46
"Italy","VisualBasic6",27
"Canada","Go",86
"Switzerland","C",88
"Switzerland","Groovy",26
"Germany","VB.NET",130
"Germany","VisualBasic6",71
"Mexico","Dart",2
"Mexico","Go",13
"Mexico","Objective-C",15
"Mexico","Python",70
"Mexico","Swift",24
"Austria","Ruby",22
"New Zealand","C",24
"New Zealand","Python",62
"Romania","C",74
"Romania","Perl",14
"Romania","PHP",138
"Romania","Python",89
"Romania","Swift",29
"United Arab Emirates","Python",10
"New Zealand","C++",27
"New Zealand","Objective-C",14
"New Zealand","Java",66
"Turkey","C",55
"Turkey","C++",61
"Turkey","Python",60
"France","Matlab",47
"Greece","Assembly",18
"Greece","C",61
"Greece","VBA",8
"Saudi Arabia","Java",21
"Saudi Arabia","JavaScript",21
"Saudi Arabia","PHP",13
"Saudi Arabia","Python",12
"Saudi Arabia","SQL",22
"Saudi Arabia","Swift",8
"Czech Republic","CoffeeScript",9
"Czech Republic","Java",121
"Czech Republic","JavaScript",155
"Czech Republic","PHP",82
"Czech Republic","SQL",147
"Pakistan","Assembly",29
"Pakistan","C",58
"Pakistan","Java",111
"Pakistan","Perl",4
"Pakistan","PHP",133
"Pakistan","Python",47
"Norway","R",7
"Norway","Ruby",11
"Serbia","TypeScript",17
"Portugal","C#",70
"Canada","Scala",60
"Iran","PHP",114
"Australia","Assembly",28
"Australia","C",107
"Australia","C++",126
"Australia","Haskell",13
"Australia","JavaScript",476
"Australia","Rust",12
"Denmark","Haskell",4
"Denmark","Rust",1
"Sweden","Ruby",30
"Greece","Elixir",1
"United States","Erlang",61
"Canada","Matlab",59
"Spain","C++",112
"Poland","VB.NET",19
"Iran","C",72
"Iran","C++",116
"Iran","C#",147
"Iran","Erlang",5
"Iran","Rust",3
"Iran","TypeScript",26
"France","C#",310
"Bulgaria","Java",76
"Bulgaria","Python",36
"Bulgaria","R",3
"United States","Julia",42
"Mexico","Lua",4
"Mexico","Ruby",27
"Brazil","TypeScript",41
"Denmark","C++",38
"Switzerland","Haskell",12
"Switzerland","PHP",136
"Hungary","C#",97
"Hungary","PHP",75
"Hungary","Python",61
"Hungary","TypeScript",36
"Portugal","C",34
"Portugal","Haskell",4
"Portugal","SQL",112
"Canada","Haskell",29
"Romania","TypeScript",43
"Russian Federation","CoffeeScript",29
"Russian Federation","Ruby",50
"Greece","C#",70
"Greece","VB.NET",17
"Bosnia-Herzegovina","Java",16
"Bosnia-Herzegovina","JavaScript",31
"Bosnia-Herzegovina","PHP",22
"Bosnia-Herzegovina","Python",8
"Bosnia-Herzegovina","Ruby",4
"Algeria","C#",5
"Algeria","JavaScript",10
"Algeria","SQL",8
"Algeria","TypeScript",2
"Bosnia-Herzegovina","SQL",30
"Germany","Elixir",30
"Germany","Rust",54
"Switzerland","Perl",14
"United Kingdom","Groovy",104
"Ukraine","C",47
"Ukraine","C++",58
"Ukraine","Objective-C",21
"Turkey","Objective-C",17
"Turkey","Ruby",13
"Finland","Ruby",14
"Cuba","C++",5
"Cuba","JavaScript",16
"Cuba","Python",7
"Germany","R",152
"Finland","Scala",11
"Sweden","Lua",16
"France","F#",14
"Israel","Matlab",21
"Israel","Swift",21
"Australia","F#",11
"Canada","R",65
"Italy","Perl",13
"Slovenia","C++",49
"Slovenia","PHP",99
"Ecuador","Java",10
"Ecuador","JavaScript",11
"Ecuador","SQL",8
"Pakistan","Matlab",16
"Pakistan","Ruby",18
"Peru","Groovy",1
"Peru","Java",24
"Peru","JavaScript",33
"Peru","PHP",15
"Peru","Python",21
"Peru","Ruby",7
"Spain","Assembly",28
"Spain","C",104
"Spain","C#",141
"Spain","Python",197
"Canada","Rust",21
"Netherlands","Julia",1
"Israel","CoffeeScript",20
"Germany","CommonLisp",25
"Bosnia-Herzegovina","C++",13
"Bosnia-Herzegovina","C#",23
"Bosnia-Herzegovina","VB.NET",5
"Poland","VBA",30
"Russian Federation","C",102
"Russian Federation","C++",149
"Russian Federation","Objective-C",36
"Russian Federation","Swift",32
"Israel","Erlang",5
"Israel","F#",5
"Canada","F#",26
"Germany","Objective-C",182
"Turkey","PHP",60
"Sweden","Swift",27
"Bulgaria","Go",9
"Belgium","TypeScript",41
"Belgium","VB.NET",31
"Croatia","Groovy",4
"Morocco","C",12
"Morocco","C++",10
"Morocco","C#",10
"Morocco","Java",22
"Morocco","Matlab",1
"Morocco","PHP",25
"Morocco","Python",9
"Morocco","SQL",26
"India","Smalltalk",13
"Mexico","R",11
"Mexico","Scala",9
"Nigeria","Java",54
"Nigeria","JavaScript",71
"Nigeria","PHP",67
"Nigeria","Python",31
"Romania","SQL",212
"Nigeria","SQL",65
"Ireland","C#",89
"Ireland","PHP",54
"Colombia","Python",22
"Guatemala","C++",4
"Guatemala","C#",11
"Guatemala","CoffeeScript",1
"Guatemala","JavaScript",15
"Guatemala","PHP",8
"Guatemala","Ruby",5
"Guatemala","SQL",14
"Guatemala","TypeScript",3
"Spain","Swift",29
"Switzerland","F#",9
"Switzerland","TypeScript",54
"Australia","Java",229
"Australia","Python",211
"Australia","SQL",384
"Norway","Objective-C",9
"Czech Republic","C#",116
"Armenia","Objective-C",6
"Armenia","SQL",13
"Armenia","Swift",5
"Austria","C",87
"Austria","Swift",17
"Lithuania","PHP",47
"Switzerland","Go",26
"Hungary","R",13
"Bulgaria","JavaScript",126
"Bulgaria","SQL",98
"Australia","Scala",21
"Virgin Islands (USA)","C",1
"Virgin Islands (USA)","Java",2
"Virgin Islands (USA)","Objective-C",1
"Virgin Islands (USA)","SQL",4
"Virgin Islands (USA)","Swift",1
"Italy","Swift",38
"United Kingdom","Elixir",38
"United Kingdom","R",123
"Australia","TypeScript",91
"Nigeria","Swift",7
"Belgium","VBA",18
"Poland","F#",18
"Poland","TypeScript",100
"Italy","Assembly",35
"Italy","C++",126
"Israel","Go",16
"Brazil","Haskell",7
"Guatemala","Python",6
"South Africa","SQL",176
"New Zealand","Swift",13
"United Kingdom","Hack",13
"New Zealand","SQL",101
"Denmark","C",30
"Denmark","Perl",8
"Denmark","TypeScript",36
"Morocco","Haskell",1
"Morocco","JavaScript",25
"Finland","Assembly",8
"Finland","C++",44
"Finland","Lua",10
"Lebanon","C",6
"Lebanon","C#",17
"Lebanon","Java",18
"Lebanon","SQL",27
"Bermuda","PHP",1
"Bermuda","SQL",1
"Bermuda","Swift",1
"Nigeria","C",14
"Germany","Lua",123
"Norway","CommonLisp",1
"Norway","Smalltalk",3
"Greece","Ruby",21
"Switzerland","Dart",3
"United Kingdom","VisualBasic6",110
"Finland","Groovy",7
"France","Lua",39
"France","R",53
"New Zealand","TypeScript",21
"I prefer not to say","Assembly",7
"I prefer not to say","C",20
"I prefer not to say","C++",28
"Estonia","PHP",20
"Norway","Go",13
"Norway","Lua",11
"Turkey","Scala",6
"France","CoffeeScript",51
"Italy","Groovy",11
"United Kingdom","Erlang",34
"France","Go",61
"Netherlands","Objective-C",50
"Romania","Scala",7
"Belgium","C",46
"Egypt","C",17
"Egypt","C++",20
"Egypt","CoffeeScript",2
"Australia","CoffeeScript",27
"Australia","R",23
"Hungary","Assembly",14
"Hungary","C",42
"Sweden","Matlab",29
"New Zealand","Ruby",20
"Czech Republic","C",60
"Czech Republic","TypeScript",26
"Austria","Python",83
"Austria","R",16
"Austria","Scala",16
"Australia","PHP",177
"Chile","C++",11
"Chile","Python",34
"Armenia","C",6
"Armenia","Python",6
"Armenia","Ruby",1
"Poland","Go",51
"Denmark","Objective-C",12
"Croatia","PHP",37
"France","Groovy",47
"Guatemala","C",2
"Guatemala","VB.NET",5
"Bulgaria","Objective-C",13
"Bulgaria","Smalltalk",1
"New Zealand","CoffeeScript",11
"New Zealand","F#",3
"New Zealand","VB.NET",10
"China","C",53
"France","Scala",57
"Pakistan","Groovy",5
"Pakistan","Julia",2
"Pakistan","VB.NET",22
"Singapore","C",24
"Singapore","C++",32
"Singapore","Java",69
"Singapore","Python",44
"Switzerland","R",26
"Switzerland","Scala",27
"Georgia","C",5
"Georgia","C++",8
"Canada","VisualBasic6",52
"Portugal","PHP",58
"Romania","Objective-C",26
"Dominican Republic","C++",8
"Dominican Republic","Java",22
"Dominican Republic","JavaScript",34
"Dominican Republic","PHP",12
"Dominican Republic","TypeScript",11
"Russian Federation","PHP",134
"Thailand","C",11
"Thailand","C++",11
"Thailand","Java",30
"Thailand","JavaScript",45
"Thailand","Perl",3
"Thailand","PHP",25
"Thailand","Python",25
"Thailand","SQL",34
"Brazil","Clojure",7
"Brazil","Go",19
"Australia","Ruby",66
"Austria","CoffeeScript",8
"Australia","Lua",26
"Japan","JavaScript",91
"Japan","Python",78
"Japan","Scala",13
"Japan","Swift",19
"Japan","TypeScript",20
"Australia","VBA",37
"Australia","VisualBasic6",18
"Australia","VB.NET",47
"Ireland","TypeScript",27
"Australia","Objective-C",45
"Argentina","VBA",4
"Argentina","VisualBasic6",9
"I prefer not to say","Clojure",3
"I prefer not to say","R",2
"I prefer not to say","Rust",2
"I prefer not to say","Swift",3
"I prefer not to say","Java",24
"I prefer not to say","Objective-C",3
"I prefer not to say","Python",28
"Iran","R",8
"Norway","Haskell",4
"Norway","Rust",5
"Costa Rica","Ruby",4
"Puerto Rico","Java",7
"Puerto Rico","JavaScript",8
"Puerto Rico","Python",4
"Puerto Rico","R",1
"Austria","Go",11
"Austria","Objective-C",20
"Austria","Rust",3
"China","Java",62
"China","SQL",53
"China","Swift",7
"Australia","Groovy",23
"Australia","Swift",58
"Indonesia","C#",53
"Indonesia","JavaScript",114
"Indonesia","SQL",98
"Canada","CommonLisp",9
"Philippines","SQL",119
"Philippines","VB.NET",33
"Philippines","VisualBasic6",21
"Indonesia","C++",41
"Indonesia","PHP",104
"Indonesia","VB.NET",22
"Indonesia","VBA",7
"Hong Kong","Java",46
"Hong Kong","JavaScript",57
"Hong Kong","SQL",47
"Hong Kong","Swift",16
"Uruguay","Assembly",2
"Uruguay","C++",13
"Uruguay","Haskell",6
"Australia","Elixir",11
"Australia","Go",24
"Japan","PHP",43
"Japan","C",35
"Japan","C++",44
"Japan","C#",41
"Indonesia","Python",39
"Estonia","Scala",1
"Australia","Matlab",20
"China","JavaScript",78
"Portugal","Matlab",10
"Nepal","Java",38
"South Korea","Java",47
"South Korea","SQL",26
"Slovak Republic","Assembly",13
"Slovak Republic","C++",36
"Slovak Republic","Java",50
"Slovak Republic","Python",34
"Singapore","Objective-C",18
"Singapore","PHP",35
"Singapore","SQL",60
"Singapore","Swift",14
"Philippines","C",33
"Philippines","C++",39
"Philippines","C#",63
"Netherlands","Haskell",24
"China","CoffeeScript",5
"United States","Hack",27
"New Zealand","VisualBasic6",3
"Italy","F#",5
"Italy","Rust",6
"Malaysia","Assembly",10
"Malaysia","Perl",4
"Colombia","Scala",4
"Cape Verde","Assembly",1
"Cape Verde","C",1
"Cape Verde","C++",1
"Cape Verde","C#",1
"Cape Verde","Java",1
"Cape Verde","JavaScript",1
"Cape Verde","Matlab",1
"Cape Verde","PHP",1
"Cape Verde","Python",1
"Cape Verde","SQL",1
"Indonesia","C",27
"Philippines","Java",91
"Philippines","JavaScript",134
"Australia","Julia",4
"Hong Kong","PHP",32
"Hong Kong","Python",26
"Uruguay","Go",2
"Hong Kong","C#",21
"Hong Kong","Haskell",2
"Hong Kong","Ruby",9
"Singapore","JavaScript",70
"South Africa","C++",50
"South Africa","PHP",81
"China","C++",48
"Taiwan","Ruby",5
"Taiwan","SQL",23
"Taiwan","C#",12
"Taiwan","JavaScript",32
"Taiwan","Objective-C",7
"Malaysia","C",27
"Malaysia","Matlab",7
"Serbia","Scala",11
"Canada","Julia",5
"United States","Smalltalk",83
"Canada","Assembly",86
"China","C#",29
"China","PHP",25
"Malaysia","TypeScript",8
"Canada","Dart",10
"China","Objective-C",8
"Singapore","C#",31
"Thailand","C#",22
"Romania","CoffeeScript",8
"Trinidad and Tobago","JavaScript",10
"Trinidad and Tobago","PHP",8
"Trinidad and Tobago","SQL",7
"Malaysia","CoffeeScript",6
"Malaysia","CommonLisp",2
"Malaysia","Go",4
"Malaysia","Julia",1
"Malaysia","Scala",2
"Taiwan","C",13
"Taiwan","C++",16
"Taiwan","Python",22
"Mongolia","Java",8
"Mongolia","JavaScript",10
"Mongolia","PHP",7
"Mongolia","SQL",9
"New Zealand","Erlang",1
"New Zealand","Hack",2
"Malaysia","Elixir",2
"India","Groovy",46
"Vietnam","Java",22
"Vietnam","TypeScript",6
"Vietnam","PHP",14
"New Zealand","Go",6
"Japan","F#",3
"Lithuania","Python",36
"Myanmar","C#",4
"Bangladesh","Assembly",10
"Bangladesh","C",29
"Georgia","C#",13
"Georgia","JavaScript",22
"Georgia","SQL",18
"India","VB.NET",150
"India","VisualBasic6",115
"Hong Kong","CoffeeScript",4
